Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/vocabulary/valueset/valueset-hiv-a-de26.json	671	7	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	22	237	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-a-de31.json	1307	7	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	24	245	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-a-de47.json	688	7	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	20	227	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-a-de6.json	629	7	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	19	229	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de103.json	971	7	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	243	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de107.json	997	7	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	22	235	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de112.json	735	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	232	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de116.json	712	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	359	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de122.json	1134	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	230	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de133.json	758	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	220	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de137.json	768	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	433	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de143.json	1143	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	225	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de150.json	2457	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	237	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de159.json	2206	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	248	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de16.json	684	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	20	223	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de166.json	2878	7	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	36	274	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de173.json	2001	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	242	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de180.json	943	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	22	228	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de19.json	934	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	22	228	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de192.json	1328	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	24	232	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de2.json	1294	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	237	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de205.json	681	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	215	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de208.json	1740	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	236	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de227.json	1706	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	246	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de23.json	1773	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	246	0	0	0	1	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de238.json	2134	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	284	0	0	0	0	0	0	1
input/vocabulary/valueset/valueset-hiv-b-de251.json	1175	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	231	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de257.json	964	7	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	22	221	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de262.json	1420	7	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	25	232	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de270.json	1590	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	242	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de277.json	1258	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	247	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de285.json	1396	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	241	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de294.json	1258	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	231	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de302.json	989	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	222	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de307.json	972	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	223	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de313.json	943	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	228	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de318.json	1272	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	229	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de326.json	981	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	235	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de34.json	760	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	221	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de38.json	1006	7	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	222	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de51.json	1359	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	225	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de6.json	771	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	215	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de62.json	766	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	216	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de69.json	629	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	213	0	0	0	0	1	0	0
input/vocabulary/valueset/valueset-hiv-b-de75.json	845	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	217	0	0	0	0	0	0	0
input/vocabulary/valueset/valueset-hiv-b-de82.json	942	7	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	21	220	0	0	0	0	0	0	0
